iteration: 1;	time elapsed (sec): 1.207
iteration: 10;	time elapsed (sec): 0.755
iteration: 20;	time elapsed (sec): 0.546
iteration: 30;	time elapsed (sec): 0.588
iteration: 40;	time elapsed (sec): 0.494
iteration: 50;	time elapsed (sec): 0.459
iteration: 60;	time elapsed (sec): 0.441
iteration: 70;	time elapsed (sec): 0.449
iteration: 80;	time elapsed (sec): 0.441
iteration: 90;	time elapsed (sec): 0.516
iteration: 100;	time elapsed (sec): 0.541
iteration: 110;	time elapsed (sec): 0.511
iteration: 120;	time elapsed (sec): 0.569
iteration: 130;	time elapsed (sec): 0.547
iteration: 140;	time elapsed (sec): 0.563
iteration: 150;	time elapsed (sec): 0.602
iteration: 160;	time elapsed (sec): 0.594
iteration: 170;	time elapsed (sec): 0.666
iteration: 180;	time elapsed (sec): 0.672
iteration: 190;	time elapsed (sec): 0.706
iteration: 200;	time elapsed (sec): 0.7
iteration: 210;	time elapsed (sec): 0.764
iteration: 220;	time elapsed (sec): 0.774
iteration: 230;	time elapsed (sec): 0.765
iteration: 240;	time elapsed (sec): 0.77
iteration: 250;	time elapsed (sec): 0.837
iteration: 260;	time elapsed (sec): 0.821
iteration: 270;	time elapsed (sec): 0.826
iteration: 280;	time elapsed (sec): 0.818
iteration: 290;	time elapsed (sec): 0.86
iteration: 300;	time elapsed (sec): 0.817
iteration: 310;	time elapsed (sec): 0.858
iteration: 320;	time elapsed (sec): 0.867
iteration: 330;	time elapsed (sec): 0.871
iteration: 340;	time elapsed (sec): 0.997
iteration: 350;	time elapsed (sec): 0.863
iteration: 360;	time elapsed (sec): 0.881
iteration: 370;	time elapsed (sec): 0.893
iteration: 380;	time elapsed (sec): 0.87
iteration: 390;	time elapsed (sec): 0.895
iteration: 400;	time elapsed (sec): 0.898
iteration: 410;	time elapsed (sec): 0.872
iteration: 420;	time elapsed (sec): 0.873
iteration: 430;	time elapsed (sec): 0.872
iteration: 440;	time elapsed (sec): 0.896
iteration: 450;	time elapsed (sec): 0.933
iteration: 460;	time elapsed (sec): 0.897
iteration: 470;	time elapsed (sec): 0.892
iteration: 480;	time elapsed (sec): 0.884
iteration: 490;	time elapsed (sec): 0.882
iteration: 500;	time elapsed (sec): 0.898
iteration: 510;	time elapsed (sec): 0.945
iteration: 520;	time elapsed (sec): 0.94
iteration: 530;	time elapsed (sec): 0.954
iteration: 540;	time elapsed (sec): 0.944
iteration: 550;	time elapsed (sec): 0.943
iteration: 560;	time elapsed (sec): 0.934
iteration: 570;	time elapsed (sec): 0.945
iteration: 580;	time elapsed (sec): 0.924
iteration: 590;	time elapsed (sec): 0.914
iteration: 600;	time elapsed (sec): 0.942
iteration: 610;	time elapsed (sec): 0.921
iteration: 620;	time elapsed (sec): 0.901
iteration: 630;	time elapsed (sec): 0.908
iteration: 640;	time elapsed (sec): 0.936
iteration: 650;	time elapsed (sec): 0.905
iteration: 660;	time elapsed (sec): 0.908
iteration: 670;	time elapsed (sec): 0.929
iteration: 680;	time elapsed (sec): 0.906
iteration: 690;	time elapsed (sec): 0.931
iteration: 700;	time elapsed (sec): 0.919
iteration: 710;	time elapsed (sec): 0.957
iteration: 720;	time elapsed (sec): 0.907
iteration: 730;	time elapsed (sec): 0.918
iteration: 740;	time elapsed (sec): 0.924
iteration: 750;	time elapsed (sec): 0.95
iteration: 760;	time elapsed (sec): 0.93
iteration: 770;	time elapsed (sec): 0.955
iteration: 780;	time elapsed (sec): 1.0
iteration: 790;	time elapsed (sec): 0.956
iteration: 800;	time elapsed (sec): 0.899
iteration: 810;	time elapsed (sec): 0.907
iteration: 820;	time elapsed (sec): 0.932
iteration: 830;	time elapsed (sec): 0.943
iteration: 840;	time elapsed (sec): 0.922
iteration: 850;	time elapsed (sec): 0.933
iteration: 860;	time elapsed (sec): 0.937
iteration: 870;	time elapsed (sec): 0.912
iteration: 880;	time elapsed (sec): 0.927
iteration: 890;	time elapsed (sec): 0.92
iteration: 900;	time elapsed (sec): 0.955
iteration: 910;	time elapsed (sec): 0.906
iteration: 920;	time elapsed (sec): 0.951
iteration: 930;	time elapsed (sec): 0.927
iteration: 940;	time elapsed (sec): 0.997
iteration: 950;	time elapsed (sec): 0.95
iteration: 960;	time elapsed (sec): 0.937
iteration: 970;	time elapsed (sec): 0.914
iteration: 980;	time elapsed (sec): 0.906
iteration: 990;	time elapsed (sec): 0.94
iteration: 1000;	time elapsed (sec): 0.954
iteration: 1010;	time elapsed (sec): 1.097
iteration: 1020;	time elapsed (sec): 0.996
iteration: 1030;	time elapsed (sec): 0.978
iteration: 1040;	time elapsed (sec): 0.996
iteration: 1050;	time elapsed (sec): 1.023
iteration: 1060;	time elapsed (sec): 1.102
iteration: 1070;	time elapsed (sec): 1.085
iteration: 1080;	time elapsed (sec): 1.011
iteration: 1090;	time elapsed (sec): 0.984
iteration: 1100;	time elapsed (sec): 1.006
iteration: 1110;	time elapsed (sec): 0.99
iteration: 1120;	time elapsed (sec): 0.985
iteration: 1130;	time elapsed (sec): 0.993
iteration: 1140;	time elapsed (sec): 1.015
iteration: 1150;	time elapsed (sec): 0.988
iteration: 1160;	time elapsed (sec): 0.993
iteration: 1170;	time elapsed (sec): 0.984
iteration: 1180;	time elapsed (sec): 0.978
iteration: 1190;	time elapsed (sec): 0.994
iteration: 1200;	time elapsed (sec): 0.976
